fecha_hora,simbolo,direccion,precio_entrada,tp,sl,score,version,score_modelo
2026-06-11 07:15:32,AVAXUSDT,LONG,6.581,6.778,6.482,Fase1_MACD_BTC1H,,
2026-06-11 07:15:33,NEARUSDT,LONG,2.06,2.122,2.029,Fase1_MACD_BTC1H,,
2026-06-11 07:30:31,NEARUSDT,LONG,2.016,2.076,1.986,Fase1_MACD_BTC1H,,
2026-06-11 20:00:30,ADAUSDT,LONG,0.1695,0.1746,0.167,Fase1_MACD_BTC1H,,
2026-06-11 22:01:05,BNBUSDT,LONG,605,623.15,595.92,Fase1_MACD_BTC1H,,
2026-06-11 22:01:09,SOLUSDT,LONG,67.1,69.11,66.09,Fase1_MACD_BTC1H,,
2026-06-12 01:45:26,XRPUSDT,LONG,1.1288,1.1627,1.1119,Fase1_MACD_BTC1H,,
2026-06-13 13:00:27,NEARUSDT,SHORT,2.113,2.05,2.145,0.0375817,Fase1_MACD_BTC1H,
2026-06-13 20:45:27,SOLUSDT,SHORT,68.86,66.79,69.89,0.11147477,Fase1_MACD_BTC1H,
2026-06-14 17:01:34,UNIUSDT,LONG,2.581,2.658,2.542,0.00098476,Fase1_MACD_BTC1H,
2026-06-14 18:15:33,XRPUSDT,LONG,1.1742,1.2094,1.1566,0.00065405,Fase1_MACD_BTC1H,
2026-06-15 08:45:35,TRXUSDT,LONG,0.32023,0.32984,0.31543,0.00069879,Fase1_MACD_BTC1H,
2026-06-15 18:00:34,BNBUSDT,LONG,616.07,634.55,606.83,4.09265851,Fase1_MACD_BTC1H,
2026-06-15 18:00:36,AVAXUSDT,LONG,6.827,7.032,6.725,0.11421106,Fase1_MACD_BTC1H,
2026-06-16 09:00:28,UNIUSDT,LONG,3.022,3.113,2.977,0.05430983,Fase1_MACD_BTC1H,
2026-06-16 09:30:38,DOTUSDT,LONG,0.994,1.024,0.979,0.01602039,Fase1_MACD_BTC1H,
2026-06-16 09:45:26,AVAXUSDT,LONG,6.764,6.967,6.663,0.11062018,Fase1_MACD_BTC1H,
2026-06-17 02:15:32,BNBUSDT,LONG,608.21,626.46,599.09,0.62090254,Fase1_MACD_BTC1H,
2026-06-17 03:00:45,XRPUSDT,LONG,1.2082,1.2444,1.1901,0.00393526,Fase1_MACD_BTC1H,
2026-06-17 09:00:31,UNIUSDT,LONG,3.299,3.398,3.25,0.03918898,Fase1_MACD_BTC1H,
2026-06-17 09:30:31,UNIUSDT,LONG,3.245,3.342,3.196,0.04762431,Fase1_MACD_BTC1H,
2026-06-17 14:30:33,AVAXUSDT,LONG,6.758,6.961,6.657,0.01132364,Fase1_MACD_BTC1H,
2026-06-17 14:45:31,DOTUSDT,LONG,0.996,1.026,0.981,0.00119585,Fase1_MACD_BTC1H,
2026-06-17 18:45:38,SOLUSDT,LONG,71.95,74.11,70.87,0.04674408,Fase1_MACD_BTC1H,
2026-06-17 23:30:32,BNBUSDT,LONG,592.65,610.43,583.76,0.27286102,Fase1_MACD_BTC1H,
2026-06-19 03:30:30,NEARUSDT,LONG,2.122,2.186,2.09,0.01034354,Fase1_MACD_BTC1H,
2026-06-19 07:30:32,NEARUSDT,LONG,2.099,2.162,2.068,0.02911352,Fase1_MACD_BTC1H,
2026-06-19 16:30:32,DOTUSDT,LONG,0.953,0.982,0.939,0.00156384,Fase1_MACD_BTC1H,
2026-06-19 17:15:31,ADAUSDT,LONG,0.1608,0.1656,0.1584,0.00015083,Fase1_MACD_BTC1H,
2026-06-21 18:12:50,UNIUSDT,SHORT,2.986,2.896,3.031,0.00486013,Fase1_MACD_BTC1H,
2026-06-21 22:15:28,UNIUSDT,SHORT,3.016,2.926,3.061,0.01674501,Fase1_MACD_BTC1H,
2026-06-21 23:00:27,XRPUSDT,SHORT,1.1291,1.0952,1.146,0.00079781,Fase1_MACD_BTC1H,
2026-06-22 01:15:27,DOTUSDT,SHORT,0.958,0.929,0.972,0.00104679,Fase1_MACD_BTC1H,
2026-06-22 04:45:27,ADAUSDT,SHORT,0.1602,0.1554,0.1626,0.00037192,Fase1_MACD_BTC1H,
2026-06-22 08:00:29,TRXUSDT,SHORT,0.33141,0.32147,0.33638,0.00003335,Fase1_MACD_BTC1H,
2026-06-22 09:15:28,NEARUSDT,SHORT,2.152,2.087,2.184,0.0194237,Fase1_MACD_BTC1H,
2026-06-22 09:15:30,DOTUSDT,SHORT,0.97,0.941,0.985,0.00041635,Fase1_MACD_BTC1H,
