fecha_hora,simbolo,direccion,precio_entrada,tp,sl,version,modo,score,qqq_ema20,qqq_ema50,estado,fecha_fin,precio_cierre,resultado
2026-06-17 03:00:11,NVDAUSDT,ORDEN_VENTA_SHORT,202.95,194.83,207.01,Fase1_MACD_QQQ1H,OBSERVACION,2.13134618,703.9652,707.6086,SL,2026-06-17 04:00:27,207.01,SL
2026-06-17 04:00:36,NVDAUSDT,ORDEN_VENTA_SHORT,203.4,195.26,207.47,Fase1_MACD_QQQ1H,OBSERVACION,2.17811478,703.6209,707.3237,SL,2026-06-17 05:00:28,207.47,SL
2026-06-17 05:00:37,AMDUSDT,ORDEN_VENTA_SHORT,452.49,434.39,461.54,Fase1_MACD_QQQ1H,OBSERVACION,13.67386623,702.9436,706.8997,SL,2026-06-17 06:00:27,461.54,SL
2026-06-17 06:00:37,AMDUSDT,ORDEN_VENTA_SHORT,452.1,434.02,461.14,Fase1_MACD_QQQ1H,OBSERVACION,14.20230328,702.1566,706.4205,SL,2026-06-17 07:00:27,461.14,SL
2026-06-17 07:00:36,MSFTUSDT,ORDEN_VENTA_SHORT,397.78,381.87,405.74,Fase1_MACD_QQQ1H,OBSERVACION,4.24852274,701.2846,705.8947,ABIERTA,,,
2026-06-17 08:00:37,MSFTUSDT,ORDEN_VENTA_SHORT,397.61,381.71,405.56,Fase1_MACD_QQQ1H,OBSERVACION,4.42529064,700.4013,705.3505,ABIERTA,,,
2026-06-17 09:00:38,MSFTUSDT,ORDEN_VENTA_SHORT,396.55,380.69,404.48,Fase1_MACD_QQQ1H,OBSERVACION,4.68133987,699.4078,704.7478,ABIERTA,,,
2026-06-17 10:00:38,MSFTUSDT,ORDEN_VENTA_SHORT,396.47,380.61,404.4,Fase1_MACD_QQQ1H,OBSERVACION,4.84098321,698.528,704.1761,ABIERTA,,,
2026-06-17 11:00:39,AMDUSDT,ORDEN_VENTA_SHORT,451.06,433.02,460.08,Fase1_MACD_QQQ1H,OBSERVACION,16.50061165,698.1692,703.8064,SL,2026-06-17 12:00:30,460.08,SL
2026-06-17 11:00:40,MSFTUSDT,ORDEN_VENTA_SHORT,398.12,382.2,406.08,Fase1_MACD_QQQ1H,OBSERVACION,4.68050027,698.1692,703.8064,ABIERTA,,,
2026-06-17 12:00:40,AMDUSDT,ORDEN_VENTA_SHORT,453.01,434.89,462.07,Fase1_MACD_QQQ1H,OBSERVACION,15.42549894,698.0721,703.5454,SL,2026-06-17 13:00:31,462.07,SL
2026-06-17 12:00:40,NVDAUSDT,ORDEN_VENTA_SHORT,201.83,193.76,205.87,Fase1_MACD_QQQ1H,OBSERVACION,3.25563679,698.0721,703.5454,SL,2026-06-17 13:00:32,205.87,SL
